chr11	3081786	3082592	1.7883e-05	35.560730	30	2.8764e-11	1.2742e-10	92.577	57.017
chr11	3099966	3100517	0.00010244	48.600568	37	2.29e-10	7.2988e-10	91.111	42.51
chr11	3114671	3115134	0.044294	52.290879	15	3.067e-06	3.156e-07	85.716	33.425
chr11	3141998	3143011	3.9474e-05	52.265085	36	1.3676e-10	2.8126e-10	70.616	18.351
chr11	3198752	3200569	1.1097e-05	76.306548	40	8.0203e-13	7.9065e-11	92.205	15.899
chr11	3200887	3201919	9.6771e-05	93.940476	30	2.8764e-11	6.8951e-10	98.107	4.1667
chr11	3267839	3268352	0.0002238	90.144533	31	8.985e-11	1.5946e-09	94.983	4.8387
chr11	3284388	3284945	0.03876	65.082071	20	6.3019e-08	2.7617e-07	71.582	6.5
chr11	3282907	3283818	0.00044656	74.547619	30	3.9999e-09	3.1818e-09	85.214	10.667
chr11	3318325	3319144	4.2116e-05	86.192169	30	2.8764e-11	3.0008e-10	90.359	4.1667
chr11	3404757	3405366	0.00010181	75.509473	31	2.389e-11	7.2542e-10	91.639	16.129
chr11	3236960	3237686	0.00019828	81.654762	30	2.8764e-11	1.4128e-09	83.044	1.3889
chr11	3475058	3475459	0.00075707	75.450450	37	2.1273e-11	5.3942e-09	94.144	18.694
chr11	3496738	3497953	0.0001457	76.139416	26	7.7879e-10	1.0381e-09	83.191	7.0513
chr11	3483290	3483495	6.4048e-05	93.782051	26	6.1792e-10	4.5635e-10	95.705	1.9231
chr11	3499406	3501320	2.2457e-05	83.860029	33	4.5992e-12	1.6001e-10	89.921	6.0606
chr11	3508967	3509860	0.00044093	74.797336	28	2.2728e-10	3.1417e-09	84.619	9.8214
chr11	3511207	3512743	1.1529e-06	85.370013	37	1.7819e-13	8.2145e-12	92.757	7.3874
chr11	3519698	3520914	6.4877e-05	92.599068	26	6.1792e-10	4.6226e-10	93.561	0.96154
chr11	3521392	3523080	1.9821e-07	88.784580	35	6.7091e-13	1.4123e-12	92.118	3.3333
chr11	3529797	3531139	5.4591e-05	89.885115	26	6.1792e-10	3.8897e-10	93.09	3.2051
